folioInspeccion,huertoID,ingenieroID,fecha,limpio,agua_potable,fugas,jabon_liq_antivac,toallas_papel,cestos_basura,cesto_100p_libre,cesto_bolsa_plas,señalamientos_visibles,señal_1_sanitario,señal_2_sanitario,señal_3_sanitario,cuenta_mat_limp,mat_identificado,area_desecho,mesa,sillas_bancas,comedor_limpio,botiquin_abastecido,dpsto_organica_inorganica,cestos_basura_comedor,cesto_100p_libreCom,cesto_bolsa,chimenea_parrilla,señales_visibles,señal_1_com,señal_2_com,señal_3_com,trampa_roedores,señal_roedor,ratonera,alimento_ratonera,ratonera_abierta,mat_limpieza_identificado,area_desechos_limpieza,acceso_controlado,animales,heces_fecales,animales_confinados,Identificada,acondicionada,Buen_estado,limpia,ordenada,jaula_envases_vacios,material_contener_derrames,fosa_derrames,fosa_funcional,señalamientos,sin_maleza,sin_basura,material_desuso,conjunto_error
FEH-1,9600d0ae,fd39c2bf,28/08/2023 0:00:00,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,Udkdk,VERDADERO,VERDADERO,Jdjdbd,,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,
FEH-2,2f083ade,,21/08/2023 16:47:49,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,zx,FALSO,FALSO,asdsa,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,
FEH-3,a5ae9bf4,,21/08/2023 16:51:57,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,asdasd,FALSO,FALSO,asdasd,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,
FEH-4,5f7c6e0d,,21/08/2023 16:54:51,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,adasd,FALSO,FALSO,asdasd,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Realizar limpieza y desinfeccion del sanitarioAbastecer de agua potable al sanitarioReparar Fugas
FEH-5,81165131,fd39c2bf,22/08/2023 13:34:52,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,asda,VERDADERO,VERDADERO,adaw,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,"Equipar de jabón líquido el sanitario, Adquirir utensilios de limpieza para el sanitario, Equipar comedor con parrilla o chimenea, "
FEH-6,43f78eaf,fd39c2bf,22/08/2023 16:07:52,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,ghj,VERDADERO,VERDADERO,gjg,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,"Realizar limpieza y desinfeccion del sanitario, Abastecer de agua potable al sanitario, Reparar fugas en el sanitario, "
FEH-7,b3ebdded,fd39c2bf,23/08/2023 10:02:08,FALSO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSE,FALSO,VERDADERO,TRUE,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,"****Sanitario****
     Realizar limpieza y desinfeccion del sanitario,
     Reparar fugas en el sanitario, 
     Retirar basura del cesto del sanitario, 
     Colocar señalamientos en el sanitario, 
     Colocar señalamiento de identificación  de sanitario, 
     Colocar fosa de graba para  contener los derrames de la limpieza, 
****Comedor****
     Equipar el comedor con una mesa, 
     Realizar limpieza y desinfección del comedor, 
     Abastecer con medicamentos el botiquin, 
     Colocar bolsa plastica en cesto del comedor, 
     Equipar comedor con parrilla o chimenea, 
     Colocar señalamiento -Mantén limpia esta área-, 
     Colocar trampa para roedores, 
     Colocar ratonera en el corredor, 
     Evitar que la puerta de la ratonera este cerrada, 
     Colocar fosa con grava  para contener los desechos de limpieza del comedor, 
****Cercado perimetral****
     Evitar presencia de animales dentro de la huerta, 
     Retirar o enterrar heces fecales, 
****Área de objetos personales****
     Colocar ganchos al área de objetos personales, 
*****Área de preparación de mezclas****
     Remover material y quitar tierra, rehabilitar barrera de contención en el área de mezclas,
     Recoger basura y materiales en desuso del área de mezcla, 
****Higiene en la UP****
     Retirar basura de la huerta, 
     Retirar materiales en desuso de área de producción, "
FEH-8,4de403b2,2edd7913,23/08/2023 16:41:51,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,TRUE,VERDADERO,VERDADERO,TRUE,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,"****Sanitario****
     Colocar señalamiento  del correcto  lavado de manos, 
     Colocar fosa de graba para  contener los derrames de la limpieza, 
****Comedor****
     Colocar señalamientos visibles, 
     olocar señalamiento correspondiente a la estación de roedores, 
****Cercado perimetral****
****Área de objetos personales****
*****Área de preparación de mezclas****
     Acondicionar fosa para contener derrames en el área de mezclas, 
****Higiene en la UP****"
FEH-9,4de403b2,2edd7913,23/08/2023 16:48:41,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,TRUE,VERDADERO,VERDADERO,TRUE,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,"****Sanitario****
Realizar limpieza y desinfeccion del sanitario,
Abastecer de agua potable al sanitario, 
Equipar de jabón líquido el sanitario, 
Equipar con toallas de papel  el sanitario, 
     
****Comedor****
Colocar trampa para roedores, 
     
****Cercado perimetral****
Evitar tener animales domesticos sueltos, 
     
****Área de objetos personales****
Colocar ganchos al área de objetos personales, 
     
****Área de preparación de mezclas****
     
****Higiene en la UP****
Retirar materiales en desuso de área de producción, "
FEH-10,8d7a074a,2edd7913,28/08/2023 18:14:52,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,TRUE,VERDADERO,VERDADERO,TRUE,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,"****Sanitario****
Equipar con toallas de papel  el sanitario, 
Retirar basura del cesto del sanitario, 
     
****Comedor****
     
****Cercado perimetral****
     
****Área de objetos personales****
     
****Área de preparación de mezclas****
     
****Higiene en la UP****"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
